dgp,K_true,model,seed,T,T_train,max_rhat,min_ess_bulk,converged,elpd_loo,loo_se,p_loo,elpd_waic,waic_se,train_rmse,test_rmse,train_coverage_90,test_coverage_90,effective_k_mean,effective_k_std,alpha_in_ci,sigma_in_ci,alpha_true,alpha_est,delta_loo,delta_loo_significant
single,1,single_hill,0,200,150,1.0,2399.0,True,-391.9367904663086,11.420223512037532,6.219297885894775,-391.9055931016337,11.411768155374398,3.1700778007507324,5.335056781768799,0.94,0.66,1.0,0.0,True,True,0.5,0.5406778454780579,0.0,False
single,1,mixture_k3,0,200,150,1.01,595.0,True,-392.96671295166016,11.640447509101538,10.027113914489746,-392.81880660448223,11.592815032352288,3.1770472526550293,5.34530782699585,0.9333333333333333,0.66,1.85475,0.5864319547057443,True,True,0.5,0.5482878684997559,-1.0299224853515625,False
single,1,sparse_k5,0,200,150,1.01,775.0,True,-392.7110404968262,11.559903854426015,10.025545120239258,-392.55388625431806,11.514302779348492,3.1839101314544678,5.356613636016846,0.9333333333333333,0.66,1.877375,0.7418477669812048,True,True,0.5,0.5500223636627197,-0.7742500305175781,False
single,1,single_hill,1,200,150,1.0,2289.0,True,-365.0364828109741,10.242367280842398,6.099081516265869,-364.98436359129846,10.234638710242521,2.64593505859375,5.36484432220459,0.9,0.5,1.0,0.0,True,True,0.5,0.4255254566669464,0.0,False
single,1,mixture_k3,1,200,150,1.0,815.0,True,-366.8586368560791,10.52101808749171,8.237862586975098,-366.7733315876685,10.507555334916283,2.6594502925872803,5.358582973480225,0.9133333333333333,0.54,2.002125,0.6783218147568306,True,False,0.5,0.4335525929927826,-1.8221540451049805,False
single,1,sparse_k5,1,200,150,1.01,522.0,True,-367.1921091079712,10.479659804911243,8.207042217254639,-367.1599710639566,10.495037162812281,2.6550354957580566,5.381990432739258,0.9133333333333333,0.54,1.831875,0.7725664918795017,True,False,0.5,0.43364742398262024,-2.1556262969970703,False
single,1,single_hill,2,200,150,1.0,2017.0,True,-394.721715927124,7.9203554535557705,5.414844512939453,-394.6949854732957,7.91823606344175,3.233062744140625,5.565924644470215,0.9266666666666666,0.72,1.0,0.0,True,True,0.5,0.5212963223457336,0.0,False
single,1,mixture_k3,2,200,150,1.0,1256.0,True,-396.3414125442505,7.837375621578999,5.910245418548584,-396.30595315014943,7.83324081762536,3.248710870742798,5.4793314933776855,0.9333333333333333,0.7,2.124375,0.6731685222698697,True,True,0.5,0.5192294716835022,-1.6196966171264648,False
single,1,sparse_k5,2,200,150,1.0,1182.0,True,-396.9515104293823,7.873486579702786,5.88073205947876,-396.91557585448027,7.870501704312456,3.249021291732788,5.483778953552246,0.9333333333333333,0.7,1.903,0.808604353191349,True,True,0.5,0.5225423574447632,-2.229794502258301,False
single,1,single_hill,3,200,150,1.0,2300.0,True,-382.2655725479126,8.98379799084535,5.534507751464844,-382.2370424857363,8.980906919345761,2.974900484085083,5.171130657196045,0.9066666666666666,0.66,1.0,0.0,True,True,0.5,0.4398898482322693,0.0,False
single,1,mixture_k3,3,200,150,1.0,888.0,True,-383.9797534942627,8.974349517461894,6.133181571960449,-383.92722148355097,8.963718277022673,2.98244309425354,5.221471786499023,0.9133333333333333,0.66,1.970125,0.6778513733666105,True,True,0.5,0.4346327781677246,-1.7141809463500977,False
