,,,elpd_loo,elpd_loo,test_rmse,test_rmse,train_rmse,train_rmse,test_coverage_90,test_coverage_90,effective_k_mean,effective_k_mean,delta_loo,delta_loo
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dgp,K_true,model,,,,,,,,,,,,
mixture_k2,2,mixture_k3,-406.26,8.59,5.4,0.55,3.6,0.21,0.71,0.06,2.55,0.15,3.4511938095092773,4.89
mixture_k2,2,single_hill,-409.71,8.61,5.38,0.54,3.57,0.21,0.73,0.06,1.0,0.0,0.0,0.0
mixture_k2,2,sparse_k5,-406.94,8.39,5.4,0.54,3.61,0.21,0.71,0.06,2.79,0.26,2.7689308166503905,4.47
mixture_k3,3,mixture_k3,-488.02,9.52,8.39,0.92,7.57,0.38,0.83,0.05,2.93,0.03,32.700979232788086,5.66
mixture_k3,3,single_hill,-520.72,7.43,8.31,0.96,7.53,0.37,0.82,0.07,1.0,0.0,0.0,0.0
mixture_k3,3,sparse_k5,-488.07,9.27,8.39,0.92,7.58,0.38,0.83,0.05,3.73,0.11,32.65596656799316,5.55
mixture_k5,5,mixture_k3,-498.43,5.44,7.77,0.92,6.95,0.19,0.85,0.06,2.84,0.06,11.053879737854004,8.85
mixture_k5,5,single_hill,-509.49,4.73,7.79,0.9,6.93,0.16,0.86,0.07,1.0,0.0,0.0,0.0
mixture_k5,5,sparse_k5,-497.97,5.53,7.78,0.91,6.96,0.19,0.85,0.07,3.7,0.21,11.519884300231933,8.87
single,1,mixture_k3,-383.97,11.67,5.13,0.5,2.99,0.23,0.66,0.08,2.04,0.16,-1.620648193359375,0.35
single,1,single_hill,-382.35,11.89,5.14,0.51,2.98,0.23,0.66,0.1,1.0,0.0,0.0,0.0
single,1,sparse_k5,-384.36,11.59,5.15,0.5,3.0,0.24,0.66,0.08,1.89,0.11,-2.009821319580078,0.73
